,sessionID,text,label
47,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",2
48,Ses01F_impro02_F018,And your mother is close by.,3
49,Ses01F_impro02_F019,I'll send you lots of letters.,2
50,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,2
51,Ses01F_impro02_M000,It's not fair.,-1
52,Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",2
53,Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",-1
54,Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,-1
55,Ses01F_impro02_M004,Then why is that fair?  Why--,-1
56,Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,2
57,Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,-1
58,Ses01F_impro02_M007,This is a stupid war.,-1
59,Ses01F_impro02_M008,I know.,-1
60,Ses01F_impro02_M009,I just don't see why it has to be you.,2
61,Ses01F_impro02_M010,What am I going to do? Huh?,2
62,Ses01F_impro02_M011,Yeah.,2
63,Ses01F_impro02_M012,Don't you guys have access to computers over there.,3
64,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,2
65,Ses01F_impro02_M014,I can't raise a baby by myself.  How?,2
66,Ses01F_impro02_M015,I know.,3
67,Ses01F_impro02_M016,It's just not fair.,-1
68,Ses01F_impro03_F000,Well Vegas was awesome.,1
69,Ses01F_impro03_F001,"And, um, I got married.",1
70,Ses01F_impro03_F002,Yeah.  In the old town part.,1
71,Ses01F_impro03_F003,Chuck. [LAUGHTER],-1
72,Ses01F_impro03_F004,Um- Yes.  It was very romantic.,1
73,Ses01F_impro03_F005,It was at the slot machines.,1
74,Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",1
75,Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,-1
76,Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",1
77,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,1
78,Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,1
79,Ses01F_impro03_F011,"He's not going to be a citizen, though.",-1
80,Ses01F_impro03_F012,Oh.  Totally.,1
81,Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],1
82,Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,-1
83,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",1
84,Ses01F_impro03_F016,"He likes to keep tabs, you know.",1
85,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",3
86,Ses01F_impro03_F018,Penny slots. That's what he plays.,3
87,Ses01F_impro03_F019,Yeah.,3
88,Ses01F_impro03_F020,Oh.,-1
89,Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,1
90,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,3
91,Ses01F_impro03_F023,Yeah.,3
92,Ses01F_impro03_F024,Well so now we're married. We have cat children.,1
93,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",1
94,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],1
95,Ses01F_impro03_M000,So what's up?  What's new?,3
96,Ses01F_impro03_M001,Yeah.  I heard.,3
97,Ses01F_impro03_M002,Shut up.  No- in Vegas?,-1
98,Ses01F_impro03_M003,Who did you marry?,1
99,Ses01F_impro03_M004,Did you propose to you?,-1
100,Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,-1
101,Ses01F_impro03_M006,He turned to you and was like...,3
102,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,1
103,Ses01F_impro03_M008,Yeah.,3
104,Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",3
105,Ses01F_impro03_M010,Yeah.  Think about that.,-1
106,Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,3
107,Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",-1
108,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],1
109,Ses01F_impro03_M014,Is that your phone?,1
110,Ses01F_impro03_M015,He loves you.,1
111,Ses01F_impro03_M016,How much did he win at the slot?,3
112,Ses01F_impro03_M017,Really? Penny slots?,-1
113,Ses01F_impro03_M018,Wow.,-1
114,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,3
115,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",3
116,Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",3
117,Ses01F_impro03_M022,Awesome.,1
118,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,1
119,Ses01F_impro03_M024,That's fair enough.,3
120,Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",3
121,Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,3
122,Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",-1
123,Ses01F_impro04_F003,What kind of a job?,-1
124,Ses01F_impro04_F004,Really?,-1
125,Ses01F_impro04_F005,He just...,3
126,Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,3
127,Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,-1
128,Ses01F_impro04_F008,He got it?,-1
129,Ses01F_impro04_F009,Yeah.,3
130,Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,-1
131,Ses01F_impro04_F011,A resume?,-1
132,Ses01F_impro04_F012,No.,-1
133,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,3
134,Ses01F_impro04_F014,Yeah.,3
135,Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,-1
136,Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,-1
137,Ses01F_impro04_F017,Why?  It's a piece of paper.,-1
138,Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",-1
139,Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",-1
140,Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,-1
141,Ses01F_impro04_F021,"That's baloney, that's baloney.",-1
142,Ses01F_impro04_F022,Please.,-1
143,Ses01F_impro04_F023,you think that you're better than me because I don't have a car?,-1
144,Ses01F_impro04_F024,"You know, you're riding the bus, too.",-1
145,Ses01F_impro04_F025,Why?  What choice?,-1
146,Ses01F_impro04_F026,You're saving the environment. mmhmm,-1
147,Ses01F_impro04_F027,Interesting.  That's fantastic.,-1
148,Ses01F_impro04_F028,I'm not frustrated.,0
149,Ses01F_impro04_F029,Who do you think you are?,0
150,Ses01F_impro04_F030,You are so high and mighty.  I just--,0
151,Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,0
152,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",0
153,Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,0
154,Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",3
155,Ses01F_impro04_M001,Yeah.,3
156,Ses01F_impro04_M002,No.  There's regular jobs on there.,3
157,Ses01F_impro04_M003,Uh huh.,3
158,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,3
159,Ses01F_impro04_M005,He's like a manager for a theatre.,3
160,Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,3
161,Ses01F_impro04_M007,You did?,3
162,Ses01F_impro04_M008,Yeah.,3
163,Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,3
164,Ses01F_impro04_M010,Hmm.,3
165,Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,3
166,Ses01F_impro04_M012,Yeah.  Do you have a resume?,3
167,Ses01F_impro04_M013,It's kind of helpful when getting a job.,3
168,Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,3
169,Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",3
170,Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",3
171,Ses01F_impro04_M017,"No.  But it has an outline, you know.",3
172,Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",3
173,Ses01F_impro04_M019,Yeah.,3
174,Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",3
175,Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",3
176,Ses01F_impro04_M022,maybe get a car.,3
177,Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",3
178,Ses01F_impro04_M024,I didn't say that.,3
179,Ses01F_impro04_M025,"I am riding the bus, but by choice.",3
180,Ses01F_impro04_M026,"To save the environment, carpool.",3
181,Ses01F_impro04_M027,Yes.  One less car at a time.,3
182,Ses01F_impro04_M028,Mmhmm.,3
183,Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because...",-1
184,Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.,-1
185,Ses01F_impro04_M031,I don't think I'm anyone.,3
186,Ses01F_impro04_M032,I- I-I didn't-- okay.,3
187,Ses01F_impro04_M033,What?  No.,-1
188,Ses01F_impro04_M034,What? Oh.  So now you're...,-1
189,Ses01F_impro04_M035,you know what?  You don't have to take your anger and your hurt out on me.,-1
190,Ses01F_impro04_M036,Why not?,-1
191,Ses01F_impro05_F000,Hi.,-1
192,Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.,-1
193,Ses01F_impro05_F002,I need my bag.,-1
194,Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines.",-1
195,Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,-1
196,Ses01F_impro05_F005,Nash.,-1
197,Ses01F_impro05_F006,No G.,-1
198,Ses01F_impro05_F007,Yes.,-1
199,Ses01F_impro05_F008,Flight seven fourteen.,0
200,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",0
201,Ses01F_impro05_F010,"Oh, Are you kidding me?",-1
202,Ses01F_impro05_F011,Is this a joke?,0
203,Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",0
204,Ses01F_impro05_F013,So you'll give me money and then I'll get my bag?,-1
205,Ses01F_impro05_F014,"You're kidding me, this is a joke.",0
206,Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,0
207,Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,0
208,Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,0
209,Ses01F_impro05_F018,Do you understand who my husband is?,0
210,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",0
211,Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,0
212,Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,0
213,Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,0
214,Ses01F_impro05_F023,Because I probably know him.,0
215,Ses01F_impro05_F024,Yeah.,0
216,Ses01F_impro05_F025,"I don't want money, I want my clothes.",0
217,Ses01F_impro05_F026,What's your name?,0
218,Ses01F_impro05_F027,Sean.  Great. Do you have a badge number or something?,-1
219,Ses01F_impro05_F028,Okay.  I'll do that.,0
220,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,0
221,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,0
222,Ses01F_impro05_M000,Hi.  Thanks for waiting.,3
223,Ses01F_impro05_M001,Can I help you?,1
224,Ses01F_impro05_M002,Uh huh.,1
225,Ses01F_impro05_M003,Okay.,3
226,Ses01F_impro05_M004,Okay.,3
227,Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,3
228,Ses01F_impro05_M006,Okay.,3
229,Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,3
230,Ses01F_impro05_M008,Uh-huh.,3
231,Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",3
232,Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",3
233,Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",3
234,Ses01F_impro05_M012,"for such an inconvenience and your bag, but",3
235,Ses01F_impro05_M013,Yeah.,3
236,Ses01F_impro05_M014,"No, no.",3
237,Ses01F_impro05_M015,"No, no.  This is real.",3
238,Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",3
239,Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,3
240,Ses01F_impro05_M018,"Once again, I'm really- I'm really sorry.",-1
241,Ses01F_impro05_M019,Yes.,3
242,Ses01F_impro05_M020,I know.,3
243,Ses01F_impro05_M021,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",-1
244,Ses01F_impro05_M022,Okay. Calm-,3
245,Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",3
246,Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",3
247,Ses01F_impro05_M025,It's a gift.,3
248,Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",3
249,Ses01F_impro05_M027,With the amount of--,3
250,Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",3
251,Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,3
252,Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",3
253,Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,3
254,Ses01F_impro05_M032,"Badge number?  Uh, no.  You can just take my employee number I guess.",-1
255,Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,-1
256,Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",3
257,Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",3
258,Ses01F_impro06_F000,It's okay.,-1
259,Ses01F_impro06_F001,"No, no, no.",-1
260,Ses01F_impro06_F002,No.,2
261,Ses01F_impro06_F003,That's sweet.,3
262,Ses01F_impro06_F004,Thank you.,3
263,Ses01F_impro06_F005,I went to see her headstone a week or two ago.,2
264,Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",2
265,Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,2
266,Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,2
267,Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",3
268,Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",2
269,Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",2
270,Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",2
271,Ses01F_impro06_F013,I don't know.,2
272,Ses01F_impro06_F014,At the cemetery?,2
273,Ses01F_impro06_F015,couple hours.,2
274,Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",3
275,Ses01F_impro06_F017,It was hot.[LIPSMACK],-1
276,Ses01F_impro06_F018,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,3
277,Ses01F_impro06_F019,Yeah.,3
278,Ses01F_impro06_F020,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",2
279,Ses01F_impro06_F021,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",2
280,Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,2
281,Ses01F_impro06_F023,Umm. Yeah.,2
282,Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",2
283,Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",2
284,Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",2
285,Ses01F_impro06_F027,"There's another one, I can't remember.",3
286,Ses01F_impro06_F028,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",2
287,Ses01F_impro06_M000,"I'm sorry, Joy.",2
288,Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,3
289,Ses01F_impro06_M002,...pick up anything?,3
290,Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,2
291,Ses01F_impro06_M004,Hmm.,3
292,Ses01F_impro06_M005,Oh.  She was there?,3
293,Ses01F_impro06_M006,Mmhmm.,3
294,Ses01F_impro06_M007,Yeah.,2
295,Ses01F_impro06_M008,How long were you there for?,3
296,Ses01F_impro06_M009,Mmhmm.,3
297,Ses01F_impro06_M010,Oh really?,3
298,Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,3
299,Ses01F_impro06_M012,Is it a big cemetery?,3
300,Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",3
301,Ses01F_impro06_M014,Mmhmm.,3
302,Ses01F_impro06_M015,Mmhmm.,3
303,Ses01F_impro06_M016,So she wrote a lot of poetry?,3
304,Ses01F_impro06_M017,Mmhmm.Mmhmm.Mmhmm.,-1
305,Ses01F_impro07_F000,"Yes.  There's a big envelope it says, you're in. I know.",1
306,Ses01F_impro07_F001,So I have to move back to the ghetto but...I know.,-1
307,Ses01F_impro07_F002,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",1
308,Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",1
309,Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",1
310,Ses01F_impro07_F005,I know. We should throw a party.,1
311,Ses01F_impro07_F006,"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",-1
312,Ses01F_impro07_F007,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,-1
313,Ses01F_impro07_F008,"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",-1
314,Ses01F_impro07_F009,Yeah.  I'm not sure.,1
315,Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],1
316,Ses01F_impro07_F011,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",-1
317,Ses01F_impro07_F012,So I get to mold young minds. Mrs.?  That's my mother.,1
318,Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",1
319,Ses01F_impro07_F014,"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",-1
320,Ses01F_impro07_F015,Yeah.  Totally. [LAUGHTER],-1
321,Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",1
322,Ses01F_impro07_M000,Did you get the letter?,1
323,Ses01F_impro07_M001,Yeah. That is so awesome.,1
324,Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER],1
325,Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",1
326,Ses01F_impro07_M004,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",1
327,Ses01F_impro07_M005,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,1
328,Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.,1
329,Ses01F_impro07_M007,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",1
330,Ses01F_impro07_M008,Yeah.  Big time.,1
331,Ses01F_impro07_M009,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,1
332,Ses01F_impro07_M010,"Oh, okay.",-1
333,Ses01F_impro07_M011,Ooh. Fancy.,-1
334,Ses01F_impro07_M012,Is this a Masters or a P.h.D.?  Or can you...? Nice,3
335,Ses01F_impro07_M013,"That's good.  Don't you have to like teach a class, too, when you do that?",3
336,Ses01F_impro07_M014,"Teacher. Mrs. Nash, I have a question.",1
337,Ses01F_impro07_M015,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,1
338,Ses01F_impro07_M016,"Mrs. Nash.  That's so awesome, though.",-1
339,Ses01F_impro07_M017,Yay...School's fun.,1
340,Ses01F_impro07_M018,"Of course, right.  That's where the real money is, being a student.",3
341,Ses01F_impro07_M019,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,1
342,Ses01F_script01_1_F000,What's he going to say?,-1
343,Ses01F_script01_1_F001,Maybe we should tell him before he sees it.,-1
344,Ses01F_script01_1_F002,How could he see it?  I was the first one up; he was still in bed.,-1
345,Ses01F_script01_1_F003,When?,-1
346,Ses01F_script01_1_F004,What was he doing out here at four o clock in the morning?,-1
347,Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",3
348,Ses01F_script01_1_F006,It's getting to be just like after he died.  What's the meaning of that?,-1
349,Ses01F_script01_1_F007,What?,-1
350,Ses01F_script01_1_F008,What do you mean dishonest?,-1
351,Ses01F_script01_1_F009,What do you want to do?  Argue with him?,-1
352,Ses01F_script01_1_F010,You can't say that to him.,-1
353,Ses01F_script01_1_F011,Where's the proof?  Do you have any proof?,-1
354,Ses01F_script01_1_F012,"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",-1
355,Ses01F_script01_1_F013,"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",-1
356,Ses01F_script01_1_F014,Why?,-1
357,Ses01F_script01_1_F015,"Well I got an idea, but what's your story?",3
358,Ses01F_script01_1_F016,"Well that's only your business, Chris.",-1
359,Ses01F_script01_1_F017,Well what do you want me to do?  You're old enough to know your own mind.,-1
360,Ses01F_script01_1_F018,Well you want to make sure that your father is not going to --,-1
361,Ses01F_script01_1_F019,I'm just saying.,-1
362,Ses01F_script01_1_F020,Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,-1
363,Ses01F_script01_1_F021,"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",-1
364,Ses01F_script01_1_F022,"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",-1
365,Ses01F_script01_1_F023,"You're a considerate fellow, there's nothing wrong in that.",-1
366,Ses01F_script01_1_F024,I just don't see why.  Have you asked Annie yet?,-1
367,Ses01F_script01_1_F025,Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,-1
368,Ses01F_script01_1_F026,The trouble is you don't see enough women.  You never did.,-1
